gender,name,year,count,cnt_prev,share,share_prev,share_next,yoy,spike
female,리아,2022,928.0,730.0,73.86476698372269,55.7243400864109,85.56759840273817,1.3243503530348255,0.8627287889607563
female,리안,2022,453.0,302.0,36.056831297011186,23.05308315903574,26.39398557696401,1.5606934818528393,1.3635172804065192
female,리원,2022,224.0,168.0,17.829426513312374,12.82423169111922,16.432384568884046,1.384892469009339,1.0817261567219656
female,리윤,2022,82.0,41.0,6.526843634337566,3.1297232103326666,5.193655226434854,2.052645215510667,1.2447125816803841
female,리하,2022,182.0,160.0,14.486409042066303,12.213553991542113,10.302168563911758,1.1812570036432537,1.1812570036432537
female,린,2022,94.0,80.0,7.481991483265014,6.106776995771057,4.171952558939473,1.215244841319446,1.215244841319446
female,미소,2022,87.0,96.0,6.924821904724002,7.328132394925269,6.726209227677924,0.9385602662113983,0.9385602662113983
female,민서,2022,502.0,677.0,39.95701834679826,51.67860032671257,39.67612025440396,0.7724357143714271,0.7724357143714271
female,민아,2022,221.0,247.0,17.59063955108051,18.854673974443138,15.66610756826251,0.9304915585881541,0.9304915585881541
female,민주,2022,83.0,136.0,6.606439288414852,10.381520892810796,6.130216004972286,0.6333150607950067,0.6333150607950067
female,민지,2022,144.0,178.0,11.461774187129382,13.5875788155906,11.749580676196883,0.8404552114504504,0.8404552114504504
female,민채,2022,175.0,212.0,13.929239463525292,16.182959038793303,15.410681901388665,0.8580838176353052,0.8580838176353052
female,민하,2022,157.0,204.0,12.496517690134118,15.572281339216195,12.43071578786047,0.799916313039661,0.799916313039661
female,별,2022,229.0,225.0,18.22740478369881,17.1753103006061,20.689479016781466,1.058175699920915,0.878874766764874
female,별하,2022,99.0,104.0,7.8799697536514515,7.938810094502374,10.898161786617399,0.9863759008458816,0.7197527682942734
female,보미,2022,109.0,172.0,8.675926294424325,13.129570540907773,8.173621339963049,0.6582859636810859,0.6582859636810859
female,봄,2022,455.0,416.0,36.21602260516576,31.755240378009496,34.9933163617168,1.1386809901366421,1.033464476687774
female,사랑,2022,378.0,409.0,30.087157241214626,31.22089739087953,35.67445147338039,0.9621456290534804,0.8422006776964424
female,새봄,2022,296.0,234.0,23.560313606877063,17.86232271263034,20.348911460949672,1.3153131497717048,1.1549789630676799
female,서린,2022,143.0,116.0,11.382178533052095,8.854826643868032,13.111850899524056,1.2782032697840329,0.8647855548541189
female,서빈,2022,186.0,161.0,14.804791658375454,12.28988870398925,11.409013120365088,1.1997508254340532,1.1997508254340532
female,서아,2022,2290.0,2365.0,182.2740478369881,180.53159493748188,180.16023703501884,1.0093722336437008,1.0093722336437008
female,서안,2022,156.0,162.0,12.41692203605683,12.366223416436391,11.664438787238934,1.000056266676026,1.000056266676026
female,서연,2022,952.0,1088.0,75.77506268157758,83.05216714248637,65.04840316387259,0.9118301638470416,0.9118301638470416
female,서영,2022,152.0,220.0,12.098539419747683,16.793636738370406,7.833053784131255,0.7182854633872967,0.7182854633872967
female,서우,2022,846.0,1050.0,67.33792334938512,80.15144806949513,51.681126597474695,0.8396098196510907,0.8396098196510907
female,서원,2022,142.0,160.0,11.302582878974809,12.213553991542113,10.983303675575346,0.9216400797656157,0.9216400797656157
female,서윤,2022,1454.0,1536.0,115.73208102837586,117.2501183188043,110.00332053366935,0.9866322616472838,0.9866322616472838
female,서율,2022,557.0,642.0,44.33477932104907,49.00688539106273,42.82637014584805,0.9037422365408885,0.9037422365408885
